conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,like_count,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1987804924441235691,Mon Nov 10 08:50:00 +0000 2025,439,"di masa yang penuh ketidakpastian, sosok yang menjadi PembawaStabilitas membimbing bangsa menuju pemulihan, fondasi ekonomi kokoh tercipta, dan kesejahteraan mulai dirasakan banyak sektor.   https://t.co/Pbe7qL5349 https://t.co/xPzetyfUiT",1987804924441235691,https://pbs.twimg.com/media/G5YZcjPbMAAoChA.jpg,,in,439,,0,519,413,https://twitter.com/terbbayi/status/1987804924441235691,1303271928614891520,terbbayi
1987684282312368386,Mon Nov 10 00:50:36 +0000 2025,220,"Dari program swasembada pangan, pembangunan infrastruktur, hingga stabilitas ekonomi nasional, kiprah Soeharto masih dikenang sebagai warisan besar bangsa. #GelarPahlawanUntukSoeharto https://t.co/PSsgLqY0Fc",1987684282312368386,https://pbs.twimg.com/media/G5WsUfwbcAA__ZH.jpg,,in,220,"Tegal, Jawa Tengah",3,201,190,https://twitter.com/iamvsmymind/status/1987684282312368386,323937760,iamvsmymind
1985332744390619234,Mon Nov 03 13:06:26 +0000 2025,53088,ya Allah sedih bgt lagi belajar tp denger ortu ngomongin ekonomi….💔 https://t.co/uzzD1d1eAY,1985332744390619234,https://pbs.twimg.com/media/G41RmtRbEAAfN_0.jpg,,in,53088,,986,533,3865,https://twitter.com/Accsounting/status/1985332744390619234,1799055681498365952,Accsounting
1987412398689689955,Sun Nov 09 06:50:14 +0000 2025,130,berbagai kebijakan pembangunan di masa soeharto berfokus pada stabilitas ekonomi dan peningkatan kesejahteraan masyarakat.  #SoehartoBapakPembangunan Gelar Pahlawan Untuk Soeharto https://t.co/Y25HyYS1CI,1987412398689689955,https://pbs.twimg.com/media/G5S1Cr6bYAAgWeb.jpg,,in,130,,1,130,122,https://twitter.com/Sekjebn/status/1987412398689689955,1088433792560197632,Sekjebn
1988135124244808144,Tue Nov 11 06:42:06 +0000 2025,3,"Menteri Keuangan RI, Purbaya Yudhi Sadewa, mengunjungi SMA Negeri 3 Jakarta, Senin (10/11/2025).  Kedatangannya ini merupakan bagian dari partisipasinya pada dalam program Kemenkeu Mengajar 10.  Tampak ia mengajar kelas ekonomi mengenai Anggaran Pendapatan dan Belanja Negara https://t.co/0VanOLbpBD",1988135124244808144,https://pbs.twimg.com/ext_tw_video_thumb/1988135043949023232/pu/img/Lt2NT7t1-AFuYvaU.jpg,,in,3,,0,0,1,https://twitter.com/inilahdotcom/status/1988135124244808144,46693036,inilahdotcom
1986449116755599847,Thu Nov 06 15:02:30 +0000 2025,8,Indikasi jika MBG merupakan proyek yang menggiurkan dari segi bisnis. https://t.co/91cQfC9m8K,1986449116755599847,https://pbs.twimg.com/media/G5FI78qbIAAYjg6.jpg,,in,8,twitter.com,0,6,3,https://twitter.com/mulanbilqis/status/1986449116755599847,1138727688,mulanbilqis
1977214103820419304,Thu Nov 06 12:26:19 +0000 2025,17,Jelek bgt bisnis apasi kalian https://t.co/yyn80epzNj,1986409811362394551,https://pbs.twimg.com/media/G5ElLOlbIAAC7xh.jpg,seriusdululah,in,17,nyang baru sekrol sj,0,1,0,https://twitter.com/seriusdululah/status/1986409811362394551,1371706691977314310,seriusdululah
1985929143012168062,Wed Nov 05 04:36:19 +0000 2025,144,"Begitu lo mulai mikir kayak CEO, bukan buruh tani, lo bakal sadar:  Lahan kecil pun bisa jadi bisnis besar, asal sistem &amp; ceritanya dibangun dan punya arah yg clear. https://t.co/ZDXfwSjoBN",1985929143012168062,https://pbs.twimg.com/media/G49wB-tXwAAnAGV.jpg,,in,144,Subscribe Gratis! 👉,0,3,14,https://twitter.com/jadipossible/status/1985929143012168062,2909591220,jadipossible
1986486290695790683,Thu Nov 06 17:30:13 +0000 2025,13,#zonauang joki makalah matkul hukum bisnis https://t.co/O1nO72g8BP,1986486290695790683,https://pbs.twimg.com/media/G5FqwDIagAAwiJi.jpg,,in,13,"Newburn, England",0,75,0,https://twitter.com/ovceanbleu/status/1986486290695790683,1690968435428392960,ovceanbleu
1985364762096792058,Mon Nov 03 15:13:40 +0000 2025,63,"haloo semuanya  aku lagii open freelance/wfh nih, jadi admin bisnis ada yg minat nggak?? ini bisa bgt buat pelajar maupun irt lohh, no scam, testie nya alhamdulilah udah cukup banyak minat? dm di tele @molecull https://t.co/gjQZf3wdSD",1985364762096792058,https://pbs.twimg.com/media/G41uun1bwAAU_wy.jpg,,in,63,idk,0,31,1,https://twitter.com/frendlyx/status/1985364762096792058,1774699923189256192,frendlyx
