conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,like_count,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1984829657649463802,Sun Nov 02 03:47:21 +0000 2025,22,"Sekolah Rakyat jadi langkah nyata pemerintah untuk mengentaskan kemiskinan secara terukur, terstruktur, dan berkelanjutan.  Sepanjang 2025, sudah ada 166 Sekolah Rakyat yang beroperasi di berbagai daerah. https://t.co/biIXjlWJbY",1984829657649463802,https://pbs.twimg.com/amplify_video_thumb/1984829528653643783/img/BUYJnK5uO_2lKRqL.jpg,,in,22,"Jakarta Pusat, DKI Jakarta",0,12,3,https://twitter.com/KemensosRI/status/1984829657649463802,2889531644,KemensosRI
1986334627787907495,Thu Nov 06 07:27:34 +0000 2025,105,"Menjadi orang tua akan menjadi berat jika harus memenuhi ekspektasi sosial, padahal lebih penting untuk menjalani hidup dengan sadar dan bertanggung jawab atas pilihan sendiri. https://t.co/OdGkJ559ai",1986334627787907495,https://pbs.twimg.com/media/G5Dg0OQaMAAdGlp.jpg,,in,105,"Jl. Garuda No. 110, Sleman.",2,1,20,https://twitter.com/AkalBuku/status/1986334627787907495,966946941480218624,AkalBuku
1985259903016227034,Mon Nov 03 08:16:59 +0000 2025,43,"Bantuan sosial adalah bentuk nyata tanggung jawab negara untuk melindungi rakyat, terutama mereka yang paling membutuhkan.   Namun, bansos harus digunakan sesuai peruntukannya, untuk memenuhi kebutuhan dasar seperti pangan, pendidikan, dan kesehatan.  Simak selengkapnya. https://t.co/ceSsOzdEno",1985259903016227034,https://pbs.twimg.com/amplify_video_thumb/1985259716709351424/img/D0ySGxMUp2CFw7cZ.jpg,,in,43,"Jakarta Pusat, DKI Jakarta",0,23,14,https://twitter.com/KemensosRI/status/1985259903016227034,2889531644,KemensosRI
1987669798516568259,Sun Nov 09 23:53:03 +0000 2025,24,"Tahukah anda? 👀 Ramai kanak-kanak bawah 16 tahun sudah aktif di media sosial. Walaupun ia tidak sesuai untuk usia mereka.  Kajian menunjukkan penggunaan media sosial terlalu awal boleh menjejaskan kesihatan mental, emosi dan perkembangan sosial anak-anak. https://t.co/a0GygAvMlS",1987669798516568259,https://pbs.twimg.com/media/G5WfIFDa4AASzk_.jpg,,in,24,"MCMC HQ Tower 1, Cyberjaya",0,6,21,https://twitter.com/MCMC_RASMI/status/1987669798516568259,1411865819051528194,MCMC_RASMI
1987855353535750321,Mon Nov 10 12:10:23 +0000 2025,21,"Kasus hilangnya balita bernama Bilqis Ramadhani (4) bikin geger warga Makassar dan media sosial. Ia hilang saat bermain di Taman Pakui, dan rekaman CCTV memperlihatkan Bilqis dibawa oleh seorang perempuan bersama dua anak lain.  Hasil penyelidikan polisi mengungkap Bilqis sempat https://t.co/Z7qFJkoG6x",1987855353535750321,https://pbs.twimg.com/amplify_video_thumb/1987855298913304576/img/bqO-CTzbHadofQma.jpg,,in,21,,1,1,9,https://twitter.com/NarasiNewsroom/status/1987855353535750321,1158355819512991747,NarasiNewsroom
1985932338912805046,Wed Nov 05 04:49:01 +0000 2025,28,Penghapusan atau pemutihan iuran Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan disebut akan dimulai pada akhir 2025.  Baca selengkapnya 👇 https://t.co/6xzSrZNweK  ~LL #PemutihanTunggakan #BPJS https://t.co/MTrzgMDWLg,1985932338912805046,https://pbs.twimg.com/media/G49y7iUbQAIxLIg.jpg,,in,28,Jakarta,4,1,11,https://twitter.com/kompascom/status/1985932338912805046,23343960,kompascom
1987636022973436010,Sun Nov 09 21:38:51 +0000 2025,2,"Prabowo Ingin Karang Taruna dan Pramuka Aktif Kembali Bangun Kepedulian Sosial  Jakarta — Presiden RI Prabowo Subianto menekankan pentingnya membangkitkan kembali budaya kepedulian sosial di masyarakat melalui pengaktifan peran Karang Taruna, Pramuka, serta komunitas pendidikan https://t.co/MgAhg4U2jH",1987636022973436010,https://pbs.twimg.com/amplify_video_thumb/1987635588884000768/img/BJ5w1b2z2AyFra7d.jpg,,in,2,,1,0,1,https://twitter.com/RadioElshinta/status/1987636022973436010,121640063,RadioElshinta
1987704781314416799,Mon Nov 10 02:12:04 +0000 2025,6717,"Pengangkatan Soeharto sebagai pahlawan nasional mengkhianati jutaan masyarakat Indonesia yang dibunuh pemerintahan Orba, dari 1965-1968, Timor Timur, Papua Barat, Aceh, dan korban ratusan konflik berdarah lainnya. https://t.co/K9DiuGB2Qi",1987704781314416799,https://pbs.twimg.com/media/G5W-9o4XUAEJLDs.jpg,,in,6717,Indonesia,82,92,4266,https://twitter.com/logos_id/status/1987704781314416799,255021263,logos_id
1988136706189504552,Tue Nov 11 06:48:23 +0000 2025,1,"Soeharto Bukan Pahlawan, Ia Penjahat Kemanusiaan!  Kemarin, 10 November 2025, Presiden Prabowo Subianto (@prabowo) resmi menyematkan gelar “Pahlawan Nasional” kepada Soeharto, mantan Presiden paling korup di dunia versi Transparency International (@anticorruption).  Langkah https://t.co/w5VmWz5fqP",1988136706189504552,https://pbs.twimg.com/media/G5dHy2OacAA1eU-.jpg,,in,1,"Jakarta, Indonesia",0,1,0,https://twitter.com/LBHMasyarakat/status/1988136706189504552,2383383211,LBHMasyarakat
1988018166182932786,Mon Nov 10 22:57:21 +0000 2025,1177,"selamat pagi masyarakat demokrasi, menyambut era baru reformasi. silakan tabel ini dihafalkan, mungkin akan berguna dalam beberapa tahun kedepan.  jangan sampai kalian sikap tobat, hanya karna salah sebut pangkat. https://t.co/R40BlIzQXD",1988018166182932786,https://pbs.twimg.com/media/G5bb-x2bkAAdpz2.jpg,,in,1177,"Kota Bengkulu, Indonesia",195,56,579,https://twitter.com/direktoridosen/status/1988018166182932786,1901591046,direktoridosen
1986928325701607816,Fri Nov 07 22:46:42 +0000 2025,926,"Sore kemarin, Tim percepatan Reformasi POLRI dilantik, mohon dibantu dg masukan2 kritis dan konstruktif dari masyarakat luas. https://t.co/WgSgn0u2kd",1986928325701607816,https://pbs.twimg.com/media/G5L8yHkbIAEcM9H.jpg,,in,926,,312,1315,266,https://twitter.com/JimlyAs/status/1986928325701607816,120110169,JimlyAs
1987792424199229703,Mon Nov 10 08:00:19 +0000 2025,46,masyarakat banyak yang setuju dengan gelar pahlawan untuk soeharto karena beliau adalah Putra Terbaik Bangsa https://t.co/6B4o6UjJUL,1987792424199229703,https://pbs.twimg.com/media/G5YOq3-bIAIYgPj.jpg,,in,46,"DKI Jakarta, Indonesia",0,50,46,https://twitter.com/galauvibes__/status/1987792424199229703,4900294679,galauvibes__
1987714327311417521,Mon Nov 10 02:50:00 +0000 2025,176,"survei menunjukkan 84,25% masyarakat mendukung pemberian gelar pahlawan nasional untuk h.m. soeharto, banyak yang menilai beliau layak disebut sebagai sosok PembinaBangsa yang berjasa besar https://t.co/9bwmPcQnay",1987714327311417521,https://pbs.twimg.com/media/G5XGSpQaMAAFZBO.jpg,,in,176,,0,208,163,https://twitter.com/ihaewons/status/1987714327311417521,2951689349,ihaewons
1987510685824323938,Sun Nov 09 13:20:48 +0000 2025,27,"Selama Orde Baru, wilayah adat dirampas, Masyakat Adat distigma, dan hutan dijadikan ladang bisnis bagi korporasi milik konco, kroni, serta keluarga penguasa.🙅🏽‍♀️  #soehartobukanpahlawan https://t.co/Cm2QoqBpXr",1987510685824323938,https://pbs.twimg.com/media/G5UOV3waEAEfFrP.jpg,,in,27,,0,1,9,https://twitter.com/RumahAMAN/status/1987510685824323938,264056433,RumahAMAN
