tweet_id,user_screen_name,created_at,text,like_count,retweet_count,reply_count,quote_count,view_count
1987804924441235691,terbbayi,Mon Nov 10 08:50:00 +0000 2025,"di masa yang penuh ketidakpastian, sosok yang menjadi PembawaStabilitas membimbing bangsa menuju pemulihan, fondasi ekonomi kokoh tercipta, dan kesejahteraan mulai dirasakan banyak sektor.   https://t.co/Pbe7qL5349 https://t.co/xPzetyfUiT",439,413,519,0,
1987684282312368386,iamvsmymind,Mon Nov 10 00:50:36 +0000 2025,"Dari program swasembada pangan, pembangunan infrastruktur, hingga stabilitas ekonomi nasional, kiprah Soeharto masih dikenang sebagai warisan besar bangsa. #GelarPahlawanUntukSoeharto https://t.co/PSsgLqY0Fc",220,190,201,3,
1985332744390619234,Accsounting,Mon Nov 03 13:06:26 +0000 2025,ya Allah sedih bgt lagi belajar tp denger ortu ngomongin ekonomi….💔 https://t.co/uzzD1d1eAY,53088,3865,533,986,
1987412398689689955,Sekjebn,Sun Nov 09 06:50:14 +0000 2025,berbagai kebijakan pembangunan di masa soeharto berfokus pada stabilitas ekonomi dan peningkatan kesejahteraan masyarakat.  #SoehartoBapakPembangunan Gelar Pahlawan Untuk Soeharto https://t.co/Y25HyYS1CI,130,122,130,1,
1988135124244808144,inilahdotcom,Tue Nov 11 06:42:06 +0000 2025,"Menteri Keuangan RI, Purbaya Yudhi Sadewa, mengunjungi SMA Negeri 3 Jakarta, Senin (10/11/2025).  Kedatangannya ini merupakan bagian dari partisipasinya pada dalam program Kemenkeu Mengajar 10.  Tampak ia mengajar kelas ekonomi mengenai Anggaran Pendapatan dan Belanja Negara https://t.co/0VanOLbpBD",3,1,0,0,
1986449116755599847,mulanbilqis,Thu Nov 06 15:02:30 +0000 2025,Indikasi jika MBG merupakan proyek yang menggiurkan dari segi bisnis. https://t.co/91cQfC9m8K,8,3,6,0,
1986409811362394551,seriusdululah,Thu Nov 06 12:26:19 +0000 2025,Jelek bgt bisnis apasi kalian https://t.co/yyn80epzNj,17,0,1,0,
1985929143012168062,jadipossible,Wed Nov 05 04:36:19 +0000 2025,"Begitu lo mulai mikir kayak CEO, bukan buruh tani, lo bakal sadar:  Lahan kecil pun bisa jadi bisnis besar, asal sistem &amp; ceritanya dibangun dan punya arah yg clear. https://t.co/ZDXfwSjoBN",144,14,3,0,
1986486290695790683,ovceanbleu,Thu Nov 06 17:30:13 +0000 2025,#zonauang joki makalah matkul hukum bisnis https://t.co/O1nO72g8BP,13,0,75,0,
1985364762096792058,frendlyx,Mon Nov 03 15:13:40 +0000 2025,"haloo semuanya  aku lagii open freelance/wfh nih, jadi admin bisnis ada yg minat nggak?? ini bisa bgt buat pelajar maupun irt lohh, no scam, testie nya alhamdulilah udah cukup banyak minat? dm di tele @molecull https://t.co/gjQZf3wdSD",63,1,31,0,
