tweet_id,user_screen_name,created_at,text,like_count,retweet_count,reply_count,quote_count,view_count
1984829657649463802,KemensosRI,Sun Nov 02 03:47:21 +0000 2025,"Sekolah Rakyat jadi langkah nyata pemerintah untuk mengentaskan kemiskinan secara terukur, terstruktur, dan berkelanjutan.  Sepanjang 2025, sudah ada 166 Sekolah Rakyat yang beroperasi di berbagai daerah. https://t.co/biIXjlWJbY",22,3,12,0,
1986334627787907495,AkalBuku,Thu Nov 06 07:27:34 +0000 2025,"Menjadi orang tua akan menjadi berat jika harus memenuhi ekspektasi sosial, padahal lebih penting untuk menjalani hidup dengan sadar dan bertanggung jawab atas pilihan sendiri. https://t.co/OdGkJ559ai",105,20,1,2,
1985259903016227034,KemensosRI,Mon Nov 03 08:16:59 +0000 2025,"Bantuan sosial adalah bentuk nyata tanggung jawab negara untuk melindungi rakyat, terutama mereka yang paling membutuhkan.   Namun, bansos harus digunakan sesuai peruntukannya, untuk memenuhi kebutuhan dasar seperti pangan, pendidikan, dan kesehatan.  Simak selengkapnya. https://t.co/ceSsOzdEno",43,14,23,0,
1987669798516568259,MCMC_RASMI,Sun Nov 09 23:53:03 +0000 2025,"Tahukah anda? 👀 Ramai kanak-kanak bawah 16 tahun sudah aktif di media sosial. Walaupun ia tidak sesuai untuk usia mereka.  Kajian menunjukkan penggunaan media sosial terlalu awal boleh menjejaskan kesihatan mental, emosi dan perkembangan sosial anak-anak. https://t.co/a0GygAvMlS",24,21,6,0,
1987855353535750321,NarasiNewsroom,Mon Nov 10 12:10:23 +0000 2025,"Kasus hilangnya balita bernama Bilqis Ramadhani (4) bikin geger warga Makassar dan media sosial. Ia hilang saat bermain di Taman Pakui, dan rekaman CCTV memperlihatkan Bilqis dibawa oleh seorang perempuan bersama dua anak lain.  Hasil penyelidikan polisi mengungkap Bilqis sempat https://t.co/Z7qFJkoG6x",21,9,1,1,
1985932338912805046,kompascom,Wed Nov 05 04:49:01 +0000 2025,Penghapusan atau pemutihan iuran Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan disebut akan dimulai pada akhir 2025.  Baca selengkapnya 👇 https://t.co/6xzSrZNweK  ~LL #PemutihanTunggakan #BPJS https://t.co/MTrzgMDWLg,28,11,1,4,
1987636022973436010,RadioElshinta,Sun Nov 09 21:38:51 +0000 2025,"Prabowo Ingin Karang Taruna dan Pramuka Aktif Kembali Bangun Kepedulian Sosial  Jakarta — Presiden RI Prabowo Subianto menekankan pentingnya membangkitkan kembali budaya kepedulian sosial di masyarakat melalui pengaktifan peran Karang Taruna, Pramuka, serta komunitas pendidikan https://t.co/MgAhg4U2jH",2,1,0,1,
1987704781314416799,logos_id,Mon Nov 10 02:12:04 +0000 2025,"Pengangkatan Soeharto sebagai pahlawan nasional mengkhianati jutaan masyarakat Indonesia yang dibunuh pemerintahan Orba, dari 1965-1968, Timor Timur, Papua Barat, Aceh, dan korban ratusan konflik berdarah lainnya. https://t.co/K9DiuGB2Qi",6717,4266,92,82,
1988136706189504552,LBHMasyarakat,Tue Nov 11 06:48:23 +0000 2025,"Soeharto Bukan Pahlawan, Ia Penjahat Kemanusiaan!  Kemarin, 10 November 2025, Presiden Prabowo Subianto (@prabowo) resmi menyematkan gelar “Pahlawan Nasional” kepada Soeharto, mantan Presiden paling korup di dunia versi Transparency International (@anticorruption).  Langkah https://t.co/w5VmWz5fqP",1,0,1,0,
1988018166182932786,direktoridosen,Mon Nov 10 22:57:21 +0000 2025,"selamat pagi masyarakat demokrasi, menyambut era baru reformasi. silakan tabel ini dihafalkan, mungkin akan berguna dalam beberapa tahun kedepan.  jangan sampai kalian sikap tobat, hanya karna salah sebut pangkat. https://t.co/R40BlIzQXD",1177,579,56,195,
1986928325701607816,JimlyAs,Fri Nov 07 22:46:42 +0000 2025,"Sore kemarin, Tim percepatan Reformasi POLRI dilantik, mohon dibantu dg masukan2 kritis dan konstruktif dari masyarakat luas. https://t.co/WgSgn0u2kd",926,266,1315,312,
1987792424199229703,galauvibes__,Mon Nov 10 08:00:19 +0000 2025,masyarakat banyak yang setuju dengan gelar pahlawan untuk soeharto karena beliau adalah Putra Terbaik Bangsa https://t.co/6B4o6UjJUL,46,46,50,0,
1987714327311417521,ihaewons,Mon Nov 10 02:50:00 +0000 2025,"survei menunjukkan 84,25% masyarakat mendukung pemberian gelar pahlawan nasional untuk h.m. soeharto, banyak yang menilai beliau layak disebut sebagai sosok PembinaBangsa yang berjasa besar https://t.co/9bwmPcQnay",176,163,208,0,
1987510685824323938,RumahAMAN,Sun Nov 09 13:20:48 +0000 2025,"Selama Orde Baru, wilayah adat dirampas, Masyakat Adat distigma, dan hutan dijadikan ladang bisnis bagi korporasi milik konco, kroni, serta keluarga penguasa.🙅🏽‍♀️  #soehartobukanpahlawan https://t.co/Cm2QoqBpXr",27,9,1,0,
